mean;std;skew;kurt;RMS;crest;freq_peak;shan;perm;temp;tohn/hour
0.035274116;0.97901319;-0.064317328;-1.559345407;0.979638668;0.907200735;528.0105602;8.941488465;0.978795412;21.18;3.5
0.047075472;0.999353865;-0.080874096;-1.599085537;1.000452035;0.925548555;260.0052001;8.527619171;0.947357447;21.18;3.51
0.047075472;0.999353865;-0.080874096;-1.599085537;1.000452035;0.925548555;260.0052001;8.527619171;0.947357447;21.18;3.51
0.033582539;0.984416547;-0.055552446;-1.566818937;0.984979362;0.916737979;530.0106002;8.780799968;0.96704908;21.18;3.51
0.033582539;0.984416547;-0.055552446;-1.566818937;0.984979362;0.916737979;530.0106002;8.780799968;0.96704908;21.18;3.51
0.024385729;0.990253625;-0.051210567;-1.586913422;0.990543938;0.909329214;528.0105602;8.77679851;0.977270772;21.18;3.51
0.024385729;0.990253625;-0.051210567;-1.586913422;0.990543938;0.909329214;528.0105602;8.77679851;0.977270772;21.18;3.51
0.035648539;0.993771267;-0.057208119;-1.589065908;0.994400522;0.922582783;270.0054001;8.624575171;0.970156165;21.18;3.51
0.035648539;0.993771267;-0.057208119;-1.589065908;0.994400522;0.922582783;270.0054001;8.624575171;0.970156165;21.18;3.51
0.038807514;1.015236013;-0.065067965;-1.629640043;1.015967308;0.935208498;530.0106002;8.19355347;0.919014539;21.18;3.53
0.038807514;1.015236013;-0.065067965;-1.629640043;1.015967308;0.935208498;530.0106002;8.19355347;0.919014539;21.18;3.53
0.023227166;0.97921327;-0.034894224;-1.560239182;0.979478919;0.919225771;530.0106002;8.91001227;1.00163507;21.18;3.53
0.023227166;0.97921327;-0.034894224;-1.560239182;0.979478919;0.919225771;530.0106002;8.91001227;1.00163507;21.18;3.53
0.050134822;1.001962626;-0.085672156;-1.606815103;1.003206123;0.909022;528.0105602;8.552533705;0.961488652;21.19;3.53
0.050134822;1.001962626;-0.085672156;-1.606815103;1.003206123;0.909022;528.0105602;8.552533705;0.961488652;21.19;3.53
0.036830656;0.991762228;-0.062639205;-1.587545859;0.992435964;0.90648286;528.0105602;8.700891448;0.97834587;21.19;3.53
0.036830656;0.991762228;-0.062639205;-1.587545859;0.992435964;0.90648286;528.0105602;8.700891448;0.97834587;21.19;3.53
0.025632208;0.984886439;-0.037391928;-1.572080067;0.985210083;0.927632681;528.0105602;8.822207116;0.985556408;21.19;3.59
0.025632208;0.984886439;-0.037391928;-1.572080067;0.985210083;0.927632681;528.0105602;8.822207116;0.985556408;21.19;3.59
0.022627829;0.989164502;-0.029385174;-1.582661664;0.989413393;0.92143398;530.0106002;8.742061006;0.974559441;21.19;3.59
0.022627829;0.989164502;-0.029385174;-1.582661664;0.989413393;0.92143398;530.0106002;8.742061006;0.974559441;21.19;3.59
0.04695754;0.984195916;-0.086134757;-1.56404454;0.985305658;0.926880585;528.0105602;8.771582535;0.984214349;21.2;3.56
0.04695754;0.984195916;-0.086134757;-1.56404454;0.985305658;0.926880585;528.0105602;8.771582535;0.984214349;21.2;3.56
0.029460657;1.002146271;-0.048746879;-1.604071821;1.002569196;0.939739061;528.0105602;8.455779365;0.942428772;21.2;3.56
0.029460657;1.002146271;-0.048746879;-1.604071821;1.002569196;0.939739061;528.0105602;8.455779365;0.942428772;21.2;3.56
